Latitude (decimal degrees):	58.778
Longitude (decimal degrees):	5.626
Elevation (m):	39
Radiation database:	PVGIS-SARAH3


Slope: 41 deg. (optimum)
Azimuth: 4 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20230101:0011,0.0,0.0,0.94,3.38,0.0
20230101:0111,0.0,0.0,0.55,3.66,0.0
20230101:0211,0.0,0.0,0.34,3.86,0.0
20230101:0311,0.0,0.0,0.12,3.79,0.0
20230101:0411,0.0,0.0,-0.02,3.72,0.0
20230101:0511,0.0,0.0,-0.2,3.72,0.0
20230101:0611,0.0,0.0,-0.39,3.52,0.0
20230101:0711,0.0,0.0,-0.89,3.72,0.0
20230101:0811,0.0,0.0,-1.1,3.59,0.0
20230101:0911,2.49,2.57,-0.85,3.31,0.0
20230101:1011,56.6,6.14,0.18,3.86,0.0
20230101:1111,73.4,7.98,0.96,4.69,0.0
20230101:1211,332.4,7.97,1.17,5.31,0.0
20230101:1311,4.99,6.1,1.01,5.86,0.0
20230101:1411,9.14,2.5,0.77,5.93,0.0
20230101:1511,0.0,0.0,0.52,5.72,0.0
20230101:1611,0.0,0.0,0.6,5.66,0.0
20230101:1711,0.0,0.0,0.57,5.31,0.0
20230101:1811,0.0,0.0,0.56,4.97,0.0
20230101:1911,0.0,0.0,1.09,3.86,0.0
20230101:2011,0.0,0.0,1.14,4.34,0.0
20230101:2111,0.0,0.0,1.43,4.41,0.0
20230101:2211,0.0,0.0,1.61,4.62,0.0
20230101:2311,0.0,0.0,1.77,4.9,0.0
20230102:0011,0.0,0.0,1.81,4.83,0.0
20230102:0111,0.0,0.0,1.73,4.83,0.0
20230102:0211,0.0,0.0,1.84,4.97,0.0
20230102:0311,0.0,0.0,1.88,5.1,0.0
20230102:0411,0.0,0.0,1.86,5.03,0.0
20230102:0511,0.0,0.0,1.63,4.9,0.0
20230102:0611,0.0,0.0,1.75,4.9,0.0
20230102:0711,0.0,0.0,2.39,5.03,0.0
20230102:0811,0.0,0.0,2.46,4.97,0.0
20230102:0911,1.66,2.62,2.41,4.9,0.0
20230102:1011,8.09,6.2,2.48,4.9,0.0
20230102:1111,14.39,8.06,2.53,4.76,0.0
20230102:1211,16.19,8.06,2.48,5.1,0.0
20230102:1311,16.63,6.2,2.33,5.31,0.0
20230102:1411,9.98,2.62,2.34,5.52,0.0
20230102:1511,0.0,0.0,2.49,5.66,0.0
20230102:1611,0.0,0.0,2.65,5.86,0.0
20230102:1711,0.0,0.0,2.81,6.07,0.0
20230102:1811,0.0,0.0,2.88,6.14,0.0
20230102:1911,0.0,0.0,2.94,5.38,0.0
20230102:2011,0.0,0.0,3.05,5.03,0.0
20230102:2111,0.0,0.0,3.2,4.21,0.0
20230102:2211,0.0,0.0,3.16,3.31,0.0
20230102:2311,0.0,0.0,3.22,2.28,0.0
20230103:0011,0.0,0.0,3.2,1.03,0.0
20230103:0111,0.0,0.0,3.01,0.9,0.0
20230103:0211,0.0,0.0,2.7,1.66,0.0
20230103:0311,0.0,0.0,2.6,1.52,0.0
20230103:0411,0.0,0.0,2.6,1.24,0.0
20230103:0511,0.0,0.0,2.51,0.97,0.0
20230103:0611,0.0,0.0,2.07,1.1,0.0
20230103:0711,0.0,0.0,2.04,1.93,0.0
20230103:0811,0.0,0.0,2.27,2.14,0.0
20230103:0911,64.26,2.67,2.51,2.76,0.0
20230103:1011,287.51,6.27,3.12,3.38,0.0
20230103:1111,419.22,8.15,4.28,4.07,0.0
20230103:1211,188.05,8.16,4.36,4.69,0.0
20230103:1311,21.61,6.31,4.38,5.24,0.0
